station_name,label
MacDougal St & Washington Sq,2
Macon St & Nostrand Ave,0
Madison Ave & E 120 St,2
Madison Ave & E 82 St,2
Madison Ave & E 99 St,0
Madison St & Clinton St,1
Madison St & Cypress Ave,2
Madison St & Evergreen Ave,2
Madison St & Forest Ave,2
Madison St & Montgomery St,1
Madison St & Seneca Ave,2
Madison St & Woodward Ave,2
Maiden Ln & Pearl St,2
Manhattan Av & Leonard St,2
Manila & 1st,0
Marcus Garvey Blvd & Macon St,1
Marcy Ave & Lafayette Ave,1
Marin Light Rail,1
Market St & Cherry St,1
McGinley Square,1
McGuinness Blvd & Eagle St,2
McKibbin St & Bogart St,2
McKibbin St & Manhattan Ave,1
Melrose St & Broadway,2
Menahan St & Central Ave,2
Menahan St & Onderdonk Ave,2
Menahan St & Seneca Ave,2
Menahan St & Wyckoff Ave,2
Mercer St & Bleecker St,2
Mercer St & Spring St,0
Meserole Ave & Manhattan Ave,2
Metropolitan Ave & Bedford Ave,2
Metropolitan Ave & Meeker Ave,2
Metropolitan Ave & Stewart Ave,2
Metropolitan Ave & Vandervoort Ave,2
Milton St & Franklin St,2
Moffat St & Bushwick,2
Monmouth and 6th,1
Monroe St & Bedford Ave,1
Monroe St & Classon Ave,1
Monroe St & Tompkins Ave,1
Montague St & Clinton St,0
Montgomery St,2
Montgomery St & Franklin Ave,2
Montrose Ave & Bushwick Ave,2
Morgan Ave & Lombardy St,2
Morgan Ave & Maspeth Ave,2
Morningside Ave & W 123 St,2
Morningside Dr & Amsterdam Ave,2
Morris Ave & E 142 St,2
Morris Ave & E 153 St,2
Morris Canal,1
Mott St & Prince St,2
Mt Morris Park W & W 120 St,1
Murray St & Greenwich St,2
Murray St & West St,0
Myrtle Ave & Grove St,2
Myrtle Ave & Lewis Ave,2
Myrtle Ave & Linden St,2
Myrtle Ave & Marcy Ave,2
Myrtle Ave & St Edwards St,2
N 11 St & Kent Ave,2
N 12 St & Bedford Ave,2
N 15 St & Wythe Ave,2
N 6 St & Bedford Ave,0
Nassau Ave & Newell St,2
Nassau Ave & Russell St,1
Nassau St & Navy St,2
Newark Ave,2
Newport PATH,0
Newport Pkwy,2
Newton Rd & 44 St,1
Newtown Ave & 23 St,1
Norfolk St & Broome St,2
Norman St & Wyckoff Ave,2
North Moore St & Greenwich St,2
Nostrand Ave & Myrtle Ave,2
Oakland Ave,1
Old Fulton St,2
Old Slip & Front St,0
Onderdonk Ave & Dekalb Ave,2
Onderdonk Ave & Gates Ave,2
Pacific St & Classon Ave,1
Pacific St & Nevins St,1
Park Ave & E 124 St,2
Park Ave & Marcus Garvey Blvd,0
Park Ave & St Edwards St,2
Park Pl & Church St,2
Park Pl & Franklin Ave,1
Park Pl & Vanderbilt Ave,2
Paulus Hook,0
Pearl St & Hanover Square,0
Pearl St & Peck Slip,2
Perry St & Bleecker St,1
Perry St & Greenwich Ave,2
Pershing Field,1
Pershing Square North,2
Pershing Square South,2
Pier 40 - Hudson River Park,0
Pierrepont St & Monroe Pl,2
Pike St & E Broadway,1
Pike St & Monroe St,1
Pioneer St & Richards St,2
Pioneer St & Van Brunt St,2
Pitt St & Stanton St,1
Plaza St West & Flatbush Ave,2
Pleasant Ave & E 116 St,2
Pleasant Ave & E 120 St,2
Powers St & Olive St,1
President St & Henry St,1
Prospect Park West & 8 St,2
Prospect Pl & 6 Ave,2
Prospect Pl & Underhill Ave,1
Pulaski St & Marcus Garvey Blvd,1
Putnam Ave & Knickerbocker Ave,2
Putnam Ave & Nostrand Ave,1
Putnam Ave & Throop Ave,1
Putnam Ave & Wyckoff Ave,2
Queens Plaza North & Crescent St,2
Railroad Ave & Kay Ave,2
Reade St & Broadway,0
Richards St & Delavan St,2
Richardson St & N Henry St,1
Riverside Blvd & W 67 St,1
Riverside Dr & W 104 St,1
Riverside Dr & W 72 St,1
Riverside Dr & W 78 St,2
Riverside Dr & W 82 St,1
Riverside Dr & W 91 St,1
Riverview Park,2
Rivington St & Chrystie St,2
Rivington St & Ridge St,1
Rockaway Ave & Bainbridge St,2
Roebling St & N 4 St,2
Rogers Ave & Sterling St,2
S 3 St & Bedford Ave,1
S 4 St & Rodney St,2
S 4 St & Wythe Ave,1
S 5 Pl & S 5 St,2
S Portland Ave & Hanson Pl,2
Sands St Gate,2
Schermerhorn St & Bond St,2
Schermerhorn St & Court St,2
Scholes St & Manhattan Ave,1
Sharon St & Olive St,1
Sigourney St & Columbia St,2
Sip Ave,0
Smith St & 3 St,2
Smith St & 9 St,2
Somers St & Broadway,2
South End Ave & Liberty St,2
South St & Gouverneur Ln,2
South St & Whitehall St,2
Spruce St & Nassau St,0
St James Pl & Oliver St,2
St James Pl & Pearl St,2
St Johns Pl & Washington Ave,1
St Marks Pl & 1 Ave,1
St Marks Pl & 2 Ave,1
St Mary's St & Jackson Ave,2
St Nicholas Ave & Manhattan Ave,2
St Nicholas Ave & W 137 St,2
St. Ann's Av & Bruckner Blvd,2
St. Ann's Ave & E 144 St,1
St. Nicholas Ave & W 126 St,2
Stagg St & Morgan Ave,2
Stagg St & Union Ave,1
Stanhope St & Fairview Ave,2
Stanton St & Chrystie St,2
Stanton St & Mangin St,1
Stanton St & Norfolk St,1
State St & Smith St,2
Steinway St & 23 Ave,2
Steinway St & 28 Ave,1
Stephen St & Seneca Ave,2
Sterling Pl & Bedford Ave,1
Sterling St & Bedford Ave,2
Stewart Ave & Johnson Ave,2
Stockholm St & Wilson Ave,2
Suffolk St & Stanton St,1
Sullivan Pl & Bedford Ave,2
Sullivan St & Washington Sq,2
Suydam St & Broadway,2
Suydam St & Knickerbocker Ave,2
Suydam St & St. Nicholas Ave,2
Throop Ave & Myrtle Ave,1
Tompkins Ave & Hopkins St,0
Underhill Ave & Lincoln Pl,1
Underhill Ave & Pacific St,1
Union Ave & Jackson St,2
Union Ave & N 12 St,2
Union Ave & Wallabout St,2
Union St,2
Union St & 4 Ave,2
Union St & Bedford Ave,1
Union St & Nevins St,2
University Pl & E 14 St,0
University Pl & E 8 St,2
Van Brunt St & Van Dyke St,2
Van Brunt St & Wolcott St,2
Van Buren St & Broadway,2
Van Sinderen Ave & Truxton St,2
Van Vorst Park,2
Vernon Blvd & 10 St,2
Vernon Blvd & 30 Rd,2
Vernon Blvd & 31 Ave,2
Vernon Blvd & 41 Rd,2
Vernon Blvd & 47 Rd,2
Vernon Blvd & 50 Ave,0
Verona Pl & Fulton St,2
Vesey Pl & River Terrace,2
W 100 St & Broadway,1
W 100 St & Manhattan Ave,1
W 104 St & Amsterdam Ave,1
W 106 St & Amsterdam Ave,1
W 106 St & Central Park West,1
W 107 St & Columbus Ave,1
W 11 St & 6 Ave,2
W 110 St & Amsterdam Ave,2
W 113 St & Broadway,2
W 116 St & Amsterdam Ave,0
W 116 St & Broadway,2
W 120 St & Claremont Ave,0
W 129 St & Convent Ave,2
W 13 St & 5 Ave,0
W 13 St & 7 Ave,2
W 135 St & Lenox Terrace Pl,2
W 15 St & 10 Ave,0
W 15 St & 6 Ave,2
W 15 St & 7 Ave,2
W 16 St & The High Line,0
W 169 St & Fort Washington Ave,1
W 17 St & 8 Ave,2
W 18 St & 6 Ave,0
W 18 St & 9 Ave,2
W 20 St & 11 Ave,0
W 20 St & 7 Ave,2
W 20 St & 8 Ave,2
W 21 St & 6 Ave,0
W 22 St & 10 Ave,1
W 22 St & 8 Ave,1
W 24 St & 7 Ave,2
W 25 St & 6 Ave,0
W 26 St & 10 Ave,0
W 26 St & 8 Ave,1
W 27 St & 7 Ave,0
W 30 St & 10 Ave,2
W 31 St & 7 Ave,1
W 33 St & 7 Ave,1
W 34 St & 11 Ave,0
W 35 St & Dyer Ave,2
W 37 St & 10 Ave,1
W 37 St & 5 Ave,0
W 38 St & 8 Ave,2
W 4 St & 7 Ave S,1
W 40 St & 5 Ave,0
W 41 St & 8 Ave,1
W 42 St & 6 Ave,0
W 42 St & 8 Ave,1
W 42 St & Dyer Ave,1
W 43 St & 10 Ave,1
W 44 St & 5 Ave,0
W 45 St & 6 Ave,0
W 45 St & 8 Ave,1
W 46 St & 11 Ave,1
W 47 St & 10 Ave,1
W 47 St & 6 Ave,0
W 49 St & 8 Ave,2
W 50 St & 9 Ave,1
W 52 St & 11 Ave,2
W 52 St & 5 Ave,0
W 52 St & 6 Ave,0
W 53 St & 10 Ave,1
W 54 St & 9 Ave,1
W 55 St & 6 Ave,0
W 56 St & 10 Ave,1
W 59 St & 10 Ave,2
W 59 St & West End Ave,2
W 63 St & Broadway,2
W 64 St & Thelonious Monk Circle,1
W 67 St & Broadway,2
W 70 St & Amsterdam Ave,1
W 74 St & Columbus Ave,1
W 76 St & Columbus Ave,1
W 82 St & Central Park West,1
W 84 St & Broadway,1
W 84 St & Columbus Ave,1
W 87 St & Amsterdam Ave,1
W 87 St & West End Ave,1
W 89 St & Columbus Ave,1
W 90 St & Amsterdam Ave,1
W 92 St & Broadway,1
W 95 St & Broadway,1
W Broadway & Spring St,0
W Broadway & W Houston St,2
Wall St & South St,2
Walnut Ave & E 136 St,1
Warren St,2
Warren St & Court St,2
