station_name,label
"St. John's Wood Road, St. John's Wood",1
"St. Katharine's Way, Tower",1
"St. Luke's Church, Chelsea",0
"St. Mark's Road, North Kensington",2
"St. Martin's Street, West End",0
"St. Mary & St. Michael Church, Stepney",1
"St. Mary Axe, Aldgate",0
"St. Peter's Terrace, Fulham",1
"Stainsby Road , Poplar",1
"Stamford Street, South Bank",1
"Stanhope Gate, Mayfair",0
"Stanley Grove, Battersea",1
"Star Road, West Kensington",1
"Stebondale Street, Cubitt Town",1
"Stephendale Road, Sands End",1
"Stepney Green Station, Stepney",1
"Stewart's Road, Wandsworth Road",1
"Stonecutter Street, Holborn",0
"Storey's Gate, Westminster",0
"Strand, Strand",0
"Strata, Elephant & Castle",1
"Stratford Station, Stratford",1
"Sugden Road, Clapham",1
"Sumner Place, South Kensington",0
"Surrey Lane, Battersea",2
"Sutton Street, Shadwell",1
"Swan Street, The Borough",1
"Tachbrook Street, Victoria",1
"Tallis Street, Temple",0
"Tanner Street, Bermondsey",2
"Tate Modern, Bankside",1
"Tavistock Place, Bloomsbury",1
"Tavistock Street, Covent Garden",0
"Taviton Street, Bloomsbury",1
"Teversham Lane, Stockwell",1
"Teviot Street, Poplar",1
"The Guildhall, Guildhall",0
"The Metropolitan, Portobello",1
"The Tennis Courts, The Regent's Park",0
"The Vale, Chelsea",1
"Theobald's Road , Holborn",0
"Thorndike Close, West Chelsea",1
"Thurtle Road, Haggerston",1
"Timber Lodge, Queen Elizabeth Olympic Park",1
"Tooley Street, Bermondsey",1
"Torrens Street, Angel",1
"Tower Gardens , Tower",1
"Trebovir Road, Earl's Court",2
"Triangle Car Park, Hyde Park",0
"Turquoise Island, Notting Hill",2
"Twig Folly Bridge, Mile End",1
"Tyers Gate, Bermondsey",1
"Tysoe Street, Clerkenwell",1
"Union Grove, Wandsworth Road",1
"Union Street, The Borough",0
"Upcerne Road, West Chelsea",1
"Upper Bank Street, Canary Wharf",0
"Upper Grosvenor Street, Mayfair",0
"Upper Richmond Road, Putney",1
"Usk Road, Clapham Junction",1
"Vauxhall Bridge , Pimlico",1
"Vauxhall Cross, Vauxhall",1
"Vauxhall Street, Vauxhall",1
"Vauxhall Walk, Vauxhall",1
"Vereker Road, West Kensington",1
"Vicarage Crescent, Battersea",1
"Vicarage Gate, Kensington",1
"Victoria & Albert Museum, South Kensington",0
"Victoria Park Road, Hackney Central",1
"Victory Place, Walworth",1
"Vincent Square, Westminster",1
"Vincent Street, Pimlico",1
"Walmer Road, Avondale",1
"Walnut Tree Walk, Vauxhall",1
"Walworth Road, Elephant & Castle",1
"Walworth Square, Walworth",1
"Wandsworth Rd, Isley Court, Wandsworth Road",1
"Wandsworth Town Station, Wandsworth",1
"Wapping High Street, Wapping",1
"Wapping Lane, Wapping",1
"Wardour Street, Soho",0
"Warren Street Station, Euston",0
"Warwick Avenue Station, Maida Vale",1
"Warwick Road, Olympia",1
"Warwick Row, Westminster",1
"Warwick Square, Pimlico",1
"Waterloo Bridge, South Bank",1
"Waterloo Place, St. James's",0
"Waterloo Road, South Bank",1
"Waterloo Station 1, Waterloo",1
"Waterloo Station 2, Waterloo",1
"Waterloo Station 3, Waterloo",0
"Watney Market, Stepney",1
"Watney Street, Shadwell",1
"Webber Street , Southwark",1
"Wellington Arch, Hyde Park",0
"Wellington Road, St. John's Wood",1
"Wellington Row, Bethnal Green",1
"Wellington Street , Strand",0
"Wells Street, Fitzrovia",0
"Wendon Street, Old Ford",1
"Wenlock Road , Hoxton",1
"West Cromwell Road, Earl's Court",1
